cell_idx,cell_name,Apelin signaling pathway,Axon guidance,B cell receptor signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,cAMP signaling pathway,Cardiac muscle contraction,Cellular senescence,Chemokine signaling pathway,Cholinergic synapse,ErbB signaling pathway,Estrogen signaling pathway,Focal adhesion,Gap junction,GnRH secretion,"Growth hormone synthesis, secretion and action",Insulin secretion,JAK-STAT signaling pathway,MAPK signaling pathway,Melanogenesis,Natural killer cell mediated cytotoxicity,Oxidative phosphorylation,Phospholipase D signaling pathway,PI3K-Akt signaling pathway,Protein digestion and absorption,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Taste transduction,Th17 cell differentiation,Thermogenesis,Thyroid hormone signaling pathway,Wnt signaling pathway
202,SF126,0.22617526,0.227143914,0.086890037,0.222911367,0.059173771,0.125385793,0.077585515,0.262698429,0.116930754,0.16058402,0.175561371,0.206226234,0.314671345,0.333315308,0.09992142,0.262037158,0.111753667,0.158001834,0.246791444,0.235248944,0.105479742,0.176890658,0.154217267,0.216696198,0.093756975,0.251840453,0.20096464,0.274726976,0.136152279,0.30780455,0.131751053,0.068264243,0.178609263,-0.133819049,0.139703376,0.222005165,0.236505767,0.187441848
203,SCH,0.112596918,0.158292494,0.187122018,0.15558987,0.085918688,0.078817382,0.130610314,0.163131703,0.128871557,0.105606306,0.179231215,0.172678023,0.214165043,0.143736745,0.200542582,0.227040312,0.114247328,0.116403068,0.121547529,0.301224869,0.036669086,-0.04739076,0.113399425,0.119485781,0.083129508,0.14796314,0.128954535,0.150357726,0.103939282,0.163812154,0.023639956,0.059230068,0.261745016,0.048576265,0.029008988,0.035285266,0.190401216,0.287543926
204,SCC-3,0.010335805,-0.002581468,0.079304903,0.220229917,0.057890906,0.04119998,0.056655477,0.215961162,0.102454922,-0.008317235,-0.011217407,-0.01808271,0.040885793,-0.013921382,0.05573162,0.102406212,0.013606819,0.222553964,0.185081072,-0.024991139,0.274790423,-0.028825166,0.077475317,0.090653726,0.091575314,0.10568679,0.106899971,0.077378502,-0.014876384,0.017331278,-0.010561021,0.029179052,0.081198193,0.0067657,0.288286486,-0.008149847,-0.067845814,0.045854043
205,MHH-ES-1,0.046132721,0.165347078,-0.011747179,-0.010352303,0.070181665,0.065137556,0.135798673,0.056782533,0.020431231,0.098962365,0.159181647,-0.031805404,0.05780324,0.169434443,0.080461638,0.104617654,0.076524148,0.004629137,0.119094728,0.0767685,-0.012148822,0.196414265,0.056881115,0.052175636,0.131374785,0.054254481,0.06195029,0.060800924,0.095513571,0.089950023,-0.038029917,0.029707736,0.170824132,0.001005745,-0.001735392,0.182610489,0.092795376,0.154925917
206,MHH-NB-11,0.118686536,0.192494042,-0.053617686,-0.012880743,0.048780837,0.132656363,0.16708177,-0.009801109,0.070852584,0.276763749,0.198425059,0.100814174,-0.018450336,0.089773331,0.155572371,0.1545303,0.262222149,-0.010672635,0.092525699,0.092079981,-0.100993757,0.002893701,0.164390468,0.047525138,-0.01662921,0.117345544,0.098293869,0.009388972,0.151850488,0.152382328,0.146011206,0.156254889,0.157243457,0.084506588,-0.061926996,0.081697102,0.146640462,0.107922711
207,MHH-PREB-1,0.1219844,-0.0487108,0.423835058,0.249812932,0.017462829,0.034396418,-0.007764533,0.294348348,0.056936914,0.09440142,0.090733717,-0.00796992,-0.091525427,-0.019768968,0.167784168,0.138894903,0.081867398,0.03308389,0.069715693,0.030553903,0.203793527,0.072878823,0.12452257,0.035479775,-0.143336788,0.002502372,0.058965649,-0.015885845,0.112709258,0.062063475,0.055862358,-0.00271538,0.114128679,0.060642653,0.179899238,0.167460988,0.120502714,0.092344174
208,SU-DHL-10,0.07143096,-0.048447423,0.504964132,0.239413401,0.047827456,0.042722272,0.045767893,0.293257907,0.157185119,0.027026272,0.113720024,0.057151124,-0.044770065,0.084481287,0.091368422,0.140129691,0.015268323,0.065043785,0.078629076,-0.050116501,0.297439879,0.322865925,0.019076298,0.026716985,-0.15476565,0.031760043,0.053114054,0.109600713,0.052134814,0.050193858,0.034143371,0.023352785,-0.101816231,-0.03146482,0.308256227,0.254397971,0.135828519,0.025693868
209,SU-DHL-1,0.003106537,-0.181919603,0.06673091,0.201527176,-0.057695982,-0.064163998,0.008372817,0.240547237,0.060606988,-0.057402985,-0.005192311,0.001387393,-0.139928627,-0.111600421,-0.081456802,0.062196525,-0.066261763,0.123552289,0.050439453,-0.080921139,0.088891589,0.180521636,-0.00426049,-0.024796127,-0.059184941,-0.04030222,0.012473554,-0.074637065,-0.133224447,-0.012086782,-0.125400858,-0.101655193,0.078042749,0.018890613,0.225755125,0.173122756,0.029439705,-0.029442477
210,SK-MM-2,0.054562914,-0.155506428,0.161227978,0.008778861,0.035350711,-0.036951344,0.075059143,0.134330637,0.00097057,0.005176171,-0.041023368,0.055116044,-0.133152115,-0.063171161,-0.076869943,0.055591868,0.001525756,0.102387137,0.00674646,0.030847438,0.077348408,0.278112376,-0.012792122,-0.027547038,-0.096172245,-0.095134621,-0.042732485,-0.084938288,-0.025524061,-0.000584739,0.040686584,0.045270194,-0.011538844,0.058217379,0.086496636,0.245040065,0.070656634,-0.037071426
211,SK-MEL-30,0.237985554,0.070684643,0.081375023,0.154741103,0.04170192,0.012727181,0.058703923,0.233073992,0.103911172,0.117199872,0.068209415,0.148812116,0.113727644,0.191649069,0.155126567,0.149622944,-0.035602642,0.054966684,0.022182823,0.12340957,0.0270566,0.418626939,0.085814825,0.083775716,0.058508658,0.064652641,0.049944963,0.118083336,0.213775594,0.140983518,0.098807688,0.059921139,0.035560766,-0.109162909,0.144011074,0.245608109,0.134500224,0.067330829
212,SK-GT-2,0.063619343,0.12302469,0.187779135,0.208894834,0.068016028,0.066048079,-0.091233262,0.270245624,0.047505294,-0.003045601,0.259009342,0.0565635,0.193806049,-0.002415126,0.015999253,0.053605405,-0.003400088,0.091821316,0.173295495,0.102984021,0.202390373,-0.038340933,0.09151894,0.113075868,0.050607784,0.08843377,0.103670919,0.11308259,0.147521944,0.096873517,0.021699139,-0.013123347,0.111601675,-0.075190819,0.10798653,0.032670787,0.12225795,0.135188886
213,SISO,0.121166951,0.091895652,0.09186246,0.150643641,0.071077413,0.141923228,0.241772524,0.231809356,0.097095377,0.106273774,0.163637521,0.173523229,0.177008768,0.030125426,0.05101383,0.134216522,0.096399743,0.192136504,0.202051996,0.174079018,0.220203244,0.158569932,0.113841411,0.187053336,0.141950821,0.142513639,0.125183536,0.138279481,0.180039311,0.151251734,0.122848149,0.126197587,0.215534034,0.063539173,0.172155773,0.128579009,0.017000656,0.190878195
